,X.x,kingdom,phylum,class,order,family,genus,scientific_name,sl_mm,sl_sex,sl_ref,tl_mm,tl_sex,tl_ref,fl_mm,fl_sex,fl_ref,dw_mm,dw_sex,dw_ref,max_weight_g,max_weight_ref,benthic,pelagic,benthopelagic,bathypelagic,pelagic.neritic,pelagic.oceanic,demersal,reef.associated,anadromous,catadromous,amphidromous,potamodromous,limnodromous,oceanodromous,non.migratory,freshwater,brackish,marine,use_fisheries,use_aquaculture,use_gamefish,use_bait,use_aquarium,use_ref,phylo_div,phylo_div_ref,troph_level,troph_level_se,troph_level_ref,resil,resil_ref,resil_K,resil_tm,resil_tmax,resil_fec,vulnerab,vulnerab_ref,price,price_ref,main_ref,IUCN_Status,Harvesting,Pollution,Energy_Production_and_Mining,Natural_System_Modification,Invasive_Species_and_Disease,Climate_Change,Development,Human_Disturbance,Transportation,Aquaculture_and_Agriculture,Other,Geological_Events
3033,3033,Animalia,Chordata,Actinopteri,Aulopiformes,Ipnopidae,Bathypterois,Bathypterois atricolor,204,male/unsexed,3590,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.4,0.4,69278,4.5 - 14 years,120179,,,,,55,59153,,NA,3590,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3034,3034,Animalia,Chordata,Actinopteri,Aulopiformes,Ipnopidae,Ipnops,Ipnops agassizii,145,male/unsexed,3590,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.625,82805,3.3,0.4,69278,1.4 - 4.4 years,120179,,,,,43,59153,,NA,3590,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3035,3035,Animalia,Chordata,Actinopteri,Beryciformes,Cetomimidae,Cetichthys,Cetichthys indagator,NA,,NA,118,male/unsexed,6625,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.75,82805,NA,NA,NA,less than 15 months,120179,,,,,12,59153,,NA,9791,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3036,3036,Animalia,Chordata,Actinopteri,Beryciformes,Cetomimidae,Cetomimus,Cetomimus picklei,56,male/unsexed,6625,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5078,82805,NA,NA,NA,less than 15 months,120179,,,,,10,59153,,NA,6625,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3037,3037,Animalia,Chordata,Actinopteri,Beryciformes,Cetomimidae,Gyrinomimus,Gyrinomimus grahami,310,male/unsexed,5190,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5312,82805,NA,NA,NA,1.4 - 4.4 years,120179,,,,,33,59153,,NA,5190,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3038,3038,Animalia,Chordata,Actinopteri,Beryciformes,Cetomimidae,Gyrinomimus,Gyrinomimus bruuni,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5312,82805,NA,NA,NA,less than 15 months,120179,,,,,24,59153,,NA,50897,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3039,3039,Animalia,Chordata,Actinopteri,Gonorynchiformes,Gonorynchidae,Gonorynchus,Gonorynchus gonorynchus,NA,,NA,600,male/unsexed,5288,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,commercial,,,,,3411,0.5625,82805,3.3,0.5,69278,,120179,,,,,28,59153,unknown,80766,3411,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3040,3040,Animalia,Chordata,Actinopteri,Lampriformes,Trachipteridae,Zu,Zu elongatus,NA,,NA,1200,male/unsexed,2713,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.751,82805,4,0.5,69278,4.5 - 14 years,120179,,,,,63,59153,,NA,2713,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3041,3041,Animalia,Chordata,Actinopteri,Lophiiformes,Ceratiidae,Ceratias,Ceratias tentaculatus,NA,,NA,880,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,4117,0.6875,82805,3.3,0.4,69278,,120179,,,,,48,59153,,NA,5185,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3042,3042,Animalia,Chordata,Actinopteri,Lophiiformes,Gigantactinidae,Gigantactis,Gigantactis kreffti,252,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,4.2,0.7,69278,,120179,,,,,21,59153,,NA,559,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3043,3043,Animalia,Chordata,Actinopteri,Lophiiformes,Linophrynidae,Linophryne,Linophryne parini,64,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.6,0.6,69278,,120179,,,,,10,59153,,NA,11228,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3044,3044,Animalia,Chordata,Actinopteri,Scombriformes,Bramidae,Brama,Brama dussumieri,190,male/unsexed,4936,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,commercial,,,,,3326,0.5039,82805,3.8,0.6,69278,1.4 - 4.4 years,120179,,,,,38,59153,high,80766,4936,LC,1,0,0,0,0,0,0,0,0,0,0,0
3045,3045,Animalia,Chordata,Actinopteri,Scombriformes,Chiasmodontidae,Kali,Kali parri,228,male/unsexed,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,6649,0.5078,82805,3.5,0.4,69278,,120179,,,,,18,59153,,NA,6944,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3046,3046,Animalia,Chordata,Actinopteri,Acropomatiformes,Ostracoberycidae,Ostracoberyx,Ostracoberyx dorygenys,230,male/unsexed,26165,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.75,82805,3.5,0.4,69278,,120179,,,,,18,59153,,NA,35812,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3047,3047,Animalia,Chordata,Actinopteri,Pleuronectiformes,Samaridae,Samaris,Samaris macrolepis,NA,,NA,45,male/unsexed,9792,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,9792,0.5312,82805,3.5,0.37,69278,less than 15 months,120179,,,,,10,59153,,NA,9792,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3048,3048,Animalia,Chordata,Actinopteri,Pleuronectiformes,Samaridae,Samaris,Samaris costae,93,male/unsexed,34797,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5312,82805,3.7,0.4,69278,less than 15 months,120179,,,,,10,59153,,NA,34797,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3049,3049,Animalia,Chordata,Actinopteri,Saccopharyngiformes,Cyematidae,Neocyema,Neocyema erythrosoma,NA,,NA,160,male/unsexed,6593,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,6593,1.25,82805,3.6,0.5,69278,1.4 - 4.4 years,120179,,,,,10,59153,,NA,6593,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3050,3050,Animalia,Chordata,Actinopteri,Saccopharyngiformes,Monognathidae,Monognathus,Monognathus rajui,NA,,NA,112,male/unsexed,34506,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5001,82805,3.4,0.5,69278,,120179,,,,,10,59153,,NA,34506,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3051,3051,Animalia,Chordata,Actinopteri,Perciformes,Apistidae,Apistus,Apistus carinatus,NA,,NA,200,male/unsexed,48635,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,minor commercial,,,,,30573,1.125,82805,3.5,0.6,69278,,120179,,,,,10,59153,unknown,80766,3503,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3052,3052,Animalia,Chordata,Actinopteri,Perciformes,Congiopodidae,Congiopodus,Congiopodus spinifer,NA,,NA,450,male/unsexed,11228,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,subsistence fisheries,,,,,9602,0.5176,82805,3.3,0.5,69278,,120179,,,,,23,59153,unknown,80766,6626,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3053,3053,Animalia,Chordata,Actinopteri,Perciformes,Congiopodidae,Congiopodus,Congiopodus torvus,NA,,NA,760,male/unsexed,6626,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,subsistence fisheries,,,,,9602,0.5176,82805,3.4,0.58,69278,,120179,,,,,45,59153,unknown,80766,6626,LC,1,0,0,0,0,0,0,0,0,0,0,0
3054,3054,Animalia,Chordata,Actinopteri,Perciformes,Hoplichthyidae,Hoplichthys,Hoplichthys acanthopleurus,NA,,NA,180,male/unsexed,6629,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5002,82805,3.5,0.6,69278,,120179,,,,,10,59153,,NA,6629,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3055,3055,Animalia,Chordata,Actinopteri,Perciformes,Psychrolutidae,Cottunculus,Cottunculus spinosus,NA,,NA,45,male/unsexed,6631,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5039,82805,3.2,0.3,69278,,120179,,,,,10,59153,,NA,6631,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3056,3056,Animalia,Chordata,Actinopteri,Perciformes,Psychrolutidae,Psychrolutes,Psychrolutes macrocephalus,NA,,NA,300,male/unsexed,6631,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5005,82805,3.4,0.5,69278,,120179,,,,,21,59153,,NA,6631,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3057,3057,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes capensis,NA,,NA,370,male/unsexed,4313,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,commercial,,,,,4931,0.5,82805,3.7,0.6,69278,4.5 - 14 years,120179,,,,,53,59153,medium,80766,4313,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3058,3058,Animalia,Chordata,Actinopteri,Perciformes,Tetrarogidae,Ablabys,Ablabys binotatus,NA,,NA,150,male/unsexed,5499,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.625,82805,3.2,0.3,69278,1.4 - 4.4 years,120179,,,,,35,59153,,NA,5499,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3059,3059,Animalia,Chordata,Actinopteri,Beryciformes,Gibberichthyidae,Gibberichthys,Gibberichthys latifrons,NA,,NA,130,male/unsexed,9788,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,9788,1,82805,3.1,0.3,69278,,120179,,,,,10,59153,,NA,9788,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3060,3060,Animalia,Chordata,Actinopteri,Stomiiformes,Gonostomatidae,Diplophos,Diplophos rebainsi,NA,,NA,250,male/unsexed,3991,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5312,82805,3.4,0.3,69278,1.4 - 4.4 years,120179,,,,,35,59153,,NA,3991,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3061,3061,Animalia,Chordata,Actinopteri,Stomiiformes,Gonostomatidae,Margrethia,Margrethia valentinae,NA,,NA,72,male/unsexed,3991,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,,,,,,,0.75,82805,3.2,0.3,69278,less than 15 months,120179,,,,,15,59153,,NA,3991,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3062,3062,Animalia,Chordata,Actinopteri,Zeiformes,Parazenidae,Parazen,Parazen pacificus,NA,,NA,140,male/unsexed,557,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,1.0625,82805,3.6,0.8,69278,,120179,,,,,10,59153,,NA,557,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3063,3063,Animalia,Chordata,Actinopteri,Scombriformes,Caristiidae,Platyberyx,Platyberyx opalescens,NA,,NA,185,male/unsexed,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5156,82805,3.5,0.5,69278,,120179,,,,,10,59153,,NA,94277,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3064,3064,Animalia,Chordata,Actinopteri,Scombriformes,Chiasmodontidae,Pseudoscopelus,Pseudoscopelus obtusifrons,180,male/unsexed,56658,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,9686,0.5,82805,3.4,0.4,69278,,120179,,,,,12,59153,,NA,85782,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3065,3065,Animalia,Chordata,Actinopteri,Scombriformes,Chiasmodontidae,Pseudoscopelus,Pseudoscopelus scutatus,51,male/unsexed,56658,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.2,0.4,69278,,120179,,,,,10,59153,,NA,27116,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3066,3066,Animalia,Chordata,Actinopteri,Gadiformes,Macrouridae,Squalogadus,Squalogadus modificatus,NA,,NA,350,male/unsexed,3587,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,1,82805,3.5,0.5,69278,1.4 - 4.4 years,120179,,,,,43,59153,,NA,3587,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3067,3067,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,Sparisoma cretense,NA,,NA,500,male/unsexed,7360,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,commercial,,,,,2683,0.5,82805,2.9,0.27,69278,1.4 - 4.4 years,120179,0.16,,,,36,59153,very high,80766,7360,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3068,3068,Animalia,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser ruthenus,NA,,NA,1250,male/unsexed,6866,NA,,NA,NA,NA,NA,16000,593,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,commercial,commercial,,,public aquariums,4537;;273,0.5,82805,3.6,0.4,69278,4.5 - 14 years,120179,0.12,9-May,36,"11,000",64,59153,unknown,80766,6866,VU,1,1,0,1,1,0,0,0,0,0,0,0
3069,3069,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Canthigaster,Canthigaster capistrata,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.5,0.15,69278,less than 15 months,120179,,,,,10,59153,,NA,43205,LC,0,1,0,0,0,1,1,0,0,0,0,0
3070,3070,Animalia,Chordata,Actinopteri,Perciformes,Scorpaenidae,Scorpaena,Scorpaena canariensis,NA,,NA,140,male/unsexed,4510,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.5,0.2,69278,1.4 - 4.4 years,120179,,,,,30,59153,,NA,4510,DD,1,0,0,0,0,0,0,0,0,0,0,0
3071,3071,Animalia,Chordata,Actinopteri,Acanthuriformes,Chaetodontidae,Chaetodon,Chaetodon sedentarius,NA,,NA,150,male/unsexed,4858,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,commercial,4858,0.5,82805,3.9,0.4,69278,1.4 - 4.4 years,120179,,,,,12,59153,,NA,4858,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3072,3072,Animalia,Chordata,Actinopteri,Aulopiformes,Paralepididae,Magnisudis,Magnisudis prionosa,NA,,NA,550,male/unsexed,4056,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.625,82805,4.5,0.8,69278,1.4 - 4.4 years,120179,,,,,44,59153,,NA,5176,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3073,3073,Animalia,Chordata,Actinopteri,Perciformes,Bathydraconidae,Akarotaxis,Akarotaxis nudiceps,130,male/unsexed,5192,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,5192,1,82805,3.4,0.4,69278,1.4 - 4.4 years,120179,,,,,10,59153,,NA,5192,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3074,3074,Animalia,Chordata,Actinopteri,Ophidiiformes,Carapidae,Echiodon,Echiodon cryomargarites,NA,,NA,410,male/unsexed,6347,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,34024,0.5001,82805,3.8,0.6,69278,,120179,,,,,34,59153,,NA,34024,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3075,3075,Animalia,Chordata,Actinopteri,Perciformes,Bathydraconidae,Bathydraco,Bathydraco joannae,200,male/unsexed,5192,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,5192,0.5313,82805,3.5,0.4,69278,1.4 - 4.4 years,120179,,,,,14,59153,,NA,5192,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3076,3076,Animalia,Chordata,Actinopteri,Beryciformes,Cetomimidae,Notocetichthys,Notocetichthys trunovi,109,male/unsexed,9791,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,,1,82805,NA,NA,NA,1.4 - 4.4 years,120179,,,,,13,59153,,NA,5190,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3077,3077,Animalia,Chordata,Actinopteri,Perciformes,Harpagiferidae,Harpagifer,Harpagifer bispinis,70,male/unsexed,5191,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,,0.501,82805,3.3,0.4,69278,1.4 - 4.4 years,120179,,,,,52,59153,,NA,5191,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3078,3078,Animalia,Chordata,Actinopteri,Aulopiformes,Paralepididae,Notolepis,Notolepis annulata,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.75,82805,3.9,0.62,69278,less than 15 months,120179,,,,,27,59153,,NA,5176,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3079,3079,Animalia,Chordata,Actinopteri,Alepocephaliformes,Platytroctidae,Sagamichthys,Sagamichthys abei,NA,,NA,330,male/unsexed,2850,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.625,82805,3.1,0.3,69278,1.4 - 4.4 years,120179,,,,,19,59153,,NA,2850,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3080,3080,Animalia,Chordata,Actinopteri,Perciformes,Nototheniidae,Patagonotothen,Patagonotothen ramsayi,NA,,NA,440,male/unsexed,7226,NA,,NA,NA,NA,NA,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,commercial,,,,,4931,0.5001,82805,3.5,0.5,69278,1.4 - 4.4 years,120179,0.22-0.35,,,,37,59153,high,80766,9068,DD,1,0,0,0,0,0,0,0,0,0,0,0
3081,3081,Animalia,Chordata,Actinopteri,Lophiiformes,Melanocetidae,Melanocetus,Melanocetus rossi,118,male/unsexed,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5312,82805,3.8,0.6,69278,,120179,,,,,10,59153,,NA,5187,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3082,3082,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona,Electrona carlsbergi,96,,NA,NA,,NA,NA,,NA,NA,NA,NA,14.6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,,,,,,,0.5312,82805,3.2,0,69278,1.4 - 4.4 years,120179,0.55,,,,24,59153,,NA,5182,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3083,3083,Animalia,Chordata,Actinopteri,Aulopiformes,Notosudidae,Luciosudis,Luciosudis normani,207,male/unsexed,6552,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,6602,1,82805,3.3,0.4,69278,1.4 - 4.4 years,120179,,,,,15,59153,,NA,6552,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3084,3084,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Krefftichthys,Krefftichthys anderssoni,71,male/unsexed,5182,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,,,,,,,1,82805,3.1,0.19,69278,less than 15 months,120179,,,,,29,59153,,NA,5182,LC,1,0,0,0,0,0,0,0,0,0,0,0
3085,3085,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Gymnoscopelus,Gymnoscopelus braueri,132,male/unsexed,5182,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,minor commercial,,,,,4066,0.5039,82805,3.2,0.3,69278,1.4 - 4.4 years,120179,,,,,38,59153,high,80766,5182,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3086,3086,Animalia,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus longimanus,220,male/unsexed,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of potential interest,,,,,171,0.5001,82805,3.7,0.59,69278,less than 15 months,120179,,,,,23,59153,medium,80766,4537,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3087,3087,Animalia,Chordata,Actinopteri,Aulopiformes,Scopelarchidae,Benthalbella,Benthalbella elongata,350,male/unsexed,5174,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5313,82805,4,0.67,69278,,120179,,,,,33,59153,,NA,5174,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3088,3088,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Gymnoscopelus,Gymnoscopelus hintonoides,140,male/unsexed,5182,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,,,,,,,0.5039,82805,3.2,0.3,69278,1.4 - 4.4 years,120179,,,,,39,59153,,NA,5182,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
